series,prefix_dots,letter,braille_dots,word,is_phrase
whole-word,,ا,1,اسين,no
whole-word,,ب,12,به,no
whole-word,,ٻ,26,ٻه,no
whole-word,,ڀ,23,ڀلو,no
whole-word,,ت,2345,توهان,no
whole-word,,ٿ,1256,ٿو,no
whole-word,,ٽ,246,ٽي,no
whole-word,,ٺ,135,ٺيڪ,no
whole-word,,ث,1456,ثبوت,no
whole-word,,پ,1234,پر,no
whole-word,,ج,245,جو,no
whole-word,,ڄ,356,ڄاڻ,no
whole-word,,چ,14,چيو,no
whole-word,,ڇ,16,ڇو,no
whole-word,,ح,156,حاصل,no
whole-word,,خ,1346,خالي,no
whole-word,,د,145,دوست,no
whole-word,,ڌ,1236,ڌيان,no
whole-word,,ڏ,34,ڏس,no
whole-word,,ڊ,346,ڊاڪٽر,no
whole-word,,ڍ,256,ڍڪ,no
whole-word,,ذ,2346,ذڪر,no
whole-word,,ر,1235,رحمت,no
whole-word,,ز,1356,زمين,no
whole-word,,س,234,سرڪار,no
whole-word,,ش,146,شايد,no
whole-word,,ص,12346,صرف,no
whole-word,,ض,1246,ضايع,no
whole-word,,ط,23456,طرح,no
whole-word,,ظ,123456,ظلم,no
whole-word,,غ,126,غلط,no
whole-word,,ف,124,فرض,no
whole-word,,ڦ,235,ڦل,no
whole-word,,ق,12345,قدرت,no
whole-word,,ڪ,13,ڪافي,no
whole-word,,گ,1245,گرمي,no
whole-word,,گ,1245,گرم,no
whole-word,,ڳ,13456,ڳوٺ,no
whole-word,,ل,123,لاءِ,no
whole-word,,م,134,۾,no
whole-word,,ن,1345,نه,no
whole-word,,ڻ,3456,ماڻھو,no
whole-word,,و,2456,ويهه,no
whole-word,,هه,125-125,ها,no
whole-word,,ي,24,ياد,no
dot5,5,آ,5-345,آهي,no
dot5,5,ا,5-1,اوهان,no
dot5,5,ب,5-12,بيهن,no
dot5,5,ٻ,5-26,ٻاهر,no
dot5,5,ڀ,5-23,ڀلائي,no
dot5,5,ت,5-2345,تنهن,no
dot5,5,ٿ,5-1256,ٿين,no
dot5,5,ٽ,5-246,ٽارين,no
dot5,5,ٺ,5-135,ٺاهين,no
dot5,5,ث,5-1456,ثواب,no
dot5,5,پ,5-1234,پنهن,no
dot5,5,ج,5-245,جيتر,no
dot5,5,ڄ,5-356,ڄاڻي,no
dot5,5,چ,5-14,چيائين,no
dot5,5,ڇ,5-16,ڇڏين,no
dot5,5,ح,5-156,حيران,no
dot5,5,خ,5-1346,خوش,no
dot5,5,د,5-145,دشمن,no
dot5,5,ڌ,5-1236,ڌوئن,no
dot5,5,ڏ,5-34,ڏيکار,no
dot5,5,ڊ,5-346,ڊوڙن,no
dot5,5,ذ,5-2346,ذميوار,no
dot5,5,ر,5-1235,راند,no
dot5,5,ز,5-1356,زور,no
dot5,5,س,5-234,سيکار,no
dot5,5,ش,5-146,شهر,no
dot5,5,ص,5-12346,صاحب,no
