rank,letter,unicode,count,percent,cumulative_percent,has_braille_cell
1,ي,U+064A,52252,13.2021,13.2021,yes
2,ا,U+0627,43727,11.0481,24.2502,yes
3,ن,U+0646,37097,9.3730,33.6232,yes
4,و,U+0648,31137,7.8671,41.4903,yes
5,ه,U+0647,25145,6.3532,47.8435,yes
6,ر,U+0631,21220,5.3615,53.2050,yes
7,ج,U+062C,14893,3.7629,56.9679,yes
8,م,U+0645,13630,3.4438,60.4117,yes
9,س,U+0633,13041,3.2950,63.7067,yes
10,ت,U+062A,12572,3.1765,66.8832,yes
11,ڪ,U+06AA,12316,3.1118,69.9950,no
12,ل,U+0644,11797,2.9807,72.9757,yes
13,د,U+062F,9450,2.3877,75.3634,yes
14,ب,U+0628,7476,1.8889,77.2523,yes
15,پ,U+067E,6763,1.7088,78.9611,yes
16,ئ,U+0626,6362,1.6074,80.5685,yes
17,ک,U+06A9,5091,1.2863,81.8548,yes
18,ڻ,U+06BB,4715,1.1913,83.0461,no
19,ء,U+0621,3751,0.9477,83.9938,yes
20,ٿ,U+067F,3581,0.9048,84.8986,no
21,ع,U+0639,3441,0.8694,85.7680,yes
22,گ,U+06AF,3365,0.8502,86.6182,yes
23,ڏ,U+068F,3276,0.8277,87.4459,no
24,ش,U+0634,3253,0.8219,88.2678,yes
25,۽,U+06FD,3248,0.8206,89.0884,no
26,ٽ,U+067D,3234,0.8171,89.9055,no
27,۾,U+06FE,2970,0.7504,90.6559,no
28,ق,U+0642,2862,0.7231,91.3790,yes
29,ھ,U+06BE,2847,0.7193,92.0983,yes
30,ف,U+0641,2817,0.7117,92.8100,yes
31,چ,U+0686,2734,0.6908,93.5008,yes
32,ح,U+062D,2591,0.6546,94.1554,yes
33,ڙ,U+0699,2395,0.6051,94.7605,no
34,ز,U+0632,2026,0.5119,95.2724,yes
35,خ,U+062E,2010,0.5079,95.7803,yes
36,ص,U+0635,1645,0.4156,96.1959,yes
37,ڌ,U+068C,1628,0.4113,96.6072,no
38,ڳ,U+06B3,1584,0.4002,97.0074,no
39,ٻ,U+067B,1523,0.3848,97.3922,no
40,ط,U+0637,1299,0.3282,97.7204,yes
41,ڊ,U+068A,1079,0.2726,97.9930,no
42,ڀ,U+0680,1062,0.2683,98.2613,no
43,ٺ,U+067A,1034,0.2613,98.5226,no
44,ڇ,U+0687,1030,0.2602,98.7828,no
45,ظ,U+0638,707,0.1786,98.9614,yes
46,ذ,U+0630,658,0.1663,99.1277,yes
47,ض,U+0636,647,0.1635,99.2912,yes
48,ڄ,U+0684,572,0.1445,99.4357,no
49,ڃ,U+0683,548,0.1385,99.5742,no
50,غ,U+063A,480,0.1213,99.6955,yes
51,ڍ,U+068D,446,0.1127,99.8082,no
52,ث,U+062B,422,0.1066,99.9148,yes
53,ڦ,U+06A6,176,0.0445,99.9593,no
54,ڱ,U+06B1,161,0.0407,100.0000,no
